"","H_22s","H_C31","Paq","CPI"
"H_22s",0,0.00335830420307891,0.450229147714822,0.0997291083123601
"H_C31",0.00335830420307891,0,0.519460648591224,0.138399654184886
"Paq",0.450229147714822,0.519460648591224,0,0.146558472466349
"CPI",0.0997291083123601,0.138399654184886,0.146558472466349,0
