"","TOC","sed_rate","Pr/Ph","Thm"
"TOC",0,0.0346017009940571,0.0443947897176795,0.198971487083606
"sed_rate",0.0346017009940571,0,0.100238880848928,0.330821671725984
"Pr/Ph",0.0443947897176795,0.100238880848928,0,0.0741516060188262
"Thm",0.198971487083606,0.330821671725984,0.0741516060188262,0
