"","H_22s","H_C31","Paq","CPI"
"H_22s",1,-0.87568423761464,0.247292114709152,-0.628368105479977
"H_C31",-0.87568423761464,1,-0.0350959397242562,0.657309053012274
"Paq",0.247292114709152,-0.0350959397242562,1,-0.589607593341943
"CPI",-0.628368105479977,0.657309053012274,-0.589607593341943,1
