"","TOC","sed_rate","Pr/Ph","Thm"
"TOC",1,0.85273540760314,-0.276656057184613,0.632685781065086
"sed_rate",0.85273540760314,1,-0.27621015020898,0.451841126405661
"Pr/Ph",-0.276656057184613,-0.27621015020898,1,-0.324613764632755
"Thm",0.632685781065086,0.451841126405661,-0.324613764632755,1
